X,Y
27.6423,53.9201
27.5745,53.9202
27.4674,53.9399
27.4733,53.9379
27.5325,53.9068
27.5865,53.9436
27.4614,53.9428
27.5634,53.9149
27.5909,53.9398
27.5505,53.9217
27.552,53.8975
27.5677,53.9111
27.5786,53.914
27.434108,53.904128
27.5482,53.8846
27.6038,53.9554
27.621,53.933
27.4208,53.9057
27.6377,53.9237
27.5634,53.9149
27.5325,53.9068
27.584699,53.937409
27.6073,53.924
27.603309,53.924854
27.5575,53.9013
27.4913,53.9383
27.5532,53.8957
27.522558,53.887499
27.584316,53.909816
27.4752,53.8975
27.5402,53.9119
27.4745,53.9126
27.68808,53.946843
27.5654,53.9195
27.560384,53.90084
27.5261,53.9124
27.6887,53.9452
27.5844,53.9489
28.5129,54.2244
27.642537,53.933551
27.4864,53.8679
27.5843,53.9361
27.655047,53.932503
27.5543,53.9204
27.5196,53.8892
27.584043,53.904741
27.641882,53.919828
27.610663,53.927427
27.5331,53.914
27.6762,53.9554
27.4308,53.906
27.5532,53.8957
27.6916,53.9473
27.569578,53.922882
27.486948,53.929945
27.6091,53.8641
27.5603,53.9002
27.651752,53.937138
27.678,54.0144
27.4518,53.8995
27.5667,53.9019
27.5793,53.9113
27.4369,53.9055
27.6966,53.9261
27.428436,53.908265
27.4685,53.9393
27.5813,53.9432
27.4733,53.8503
27.5838,53.9356
27.4733,53.9286
27.5434,53.8709
27.5455,53.9271
27.6511,53.9282
27.4436,53.9087
27.4431,53.8567
27.6661,53.9524
27.466816,53.940882
27.6027,53.9419
27.6762,53.9554
27.4923,53.9193
27.550172,53.870883
27.5161,53.8862
27.7256,53.9418
27.529,53.9052
27.4892,53.911
27.6078,53.8555
27.4688,53.9003
27.5633,53.8904
27.6015,53.862
27.5844,53.9155
27.652112,53.935935
27.6268,53.8671
27.516727,53.908962
27.495,53.8778
27.4897,53.9128
27.555702,53.912574
27.6048,53.923
27.488805,53.869504
27.5224,53.8967
27.4926,53.9053
23.8489,53.7102
28.2954,54.091
30.996,52.4398
27.713682,53.985488
23.8543,53.6462
23.8357,53.6498
27.6438,53.9577
27.673914,53.984974
27.6732,53.8742
27.6981,53.8418
27.6105,53.8758
